Dam Name,Other Names,Former Names,NID ID,Other Structure ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,Number of Associated Structures,Is Associated Structure?,Designer Names,Non-Federal Dam on Federal Property,Primary Purpose,Purposes,Source Agency,State or Federal Agency ID,Latitude,Longitude,State,County,City,Distance to Nearest City (Miles),River or Stream Name,Congressional District,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Federally Regulated Dam,Federal Agency Owners,Federal Agency Involvement Funding,Federal Agency Involvement Design,Federal Agency Involvement Construction,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Federal Agency Involvement Other,Built Under the Authority of the Secretary of Agriculture,NRCS Watershed Dam Authorization,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,Years Modified,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Number of Locks,Length of Locks (ft),Lock Width (Ft),Length of Secondary Lock (Ft),Secondary Lock Width (Ft),Outlet Gate Type,Data Last Updated,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,EAP Prepared,EAP Last Revision Date,Website URL,Operational Status,Operational Status Date,Inundation Maps Added to NID?,American Indian/Alaska Native/Native Hawaiian
Weber Pond Dam,"Linville Heights Dam, Montezuma Dam",,NC01856,,NC01856,"Bagby NC Family Holdings, LLC",Private,Private,0,No,,,Recreation,Recreation,North Carolina,AVERY-015,36.0649,-81.8926,North Carolina,Avery,Linville,2,Linville River,"North Carolina, Congressional District 05",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,16,22,22,Less than 25 feet,325,,2007,Since 2000,2008,30,30,15,3,50,0,,,,,,,,,2023-09-25,2022-02-25,,High,Satisfactory,,Yes,2008-01-18,https://damsafety.org/north-carolina,,,No,
High Rock Wildlife Pond Dam,,,NC00579,,NC00579,NC Wildlife Resources Commission,State,State,0,No,,,Recreation,Recreation,North Carolina,CASWE-006,36.3576,-79.3452,North Carolina,Caswell,Yanceyville,3.2,Penson Creek,"North Carolina, Congressional District 06",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,17,22,22,Less than 25 feet,312,,1969,1960-1969,,50,50,42,4,160,185,,,,,,,,,2023-09-25,2016-02-09,,Low,Not Rated,,No,,https://damsafety.org/north-carolina,,,No,
Riveroaks Corporate Center Pond Dam 1,,,NC06355,,NC06355,Pool 6 Industrial NC LLC,Private,Private,,No,,,Other,Other,North Carolina,CABAR-473,35.4083,-80.7182,North Carolina,Cabarrus,,,UT to Rocky River,"North Carolina, Congressional District 12",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,,,0,Undetermined,,,,Undetermined,,0,,,,,,,,,,,,,,2023-09-25,2020-10-20,,Significant,Not Rated,,No,,https://damsafety.org/north-carolina,,,No,
Caraway Lake Dam #1,,,NC01649,,NC01649,"Baptist State Convention of NC, Inc.",Private,Private,0,No,,,Recreation,Recreation,North Carolina,RANDO-072,35.773,-79.895,North Carolina,Randolph,Farmer,12,Caraway Creek-Tr,"North Carolina, Congressional District 09",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,20,27,27,25-50 feet,284,,,Undetermined,,64,42,64,3.9,,,,,,,,,,,2023-09-25,2014-02-04,,Low,Satisfactory,,No,,https://damsafety.org/north-carolina,,,No,
Research Lake Dam #1,,,NC00464,,NC00464,NC State University Sandhills Research Station,State,State,0,No,,,Irrigation,Irrigation,North Carolina,MONTG-008,35.1902,-79.6689,North Carolina,Montgomery,Alma,32,Drowning Creek,"North Carolina, Congressional District 08",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,18,22,22,Less than 25 feet,435,,1956,1950-1959,,50,50,42,15,,99,,,,,,,,,2023-09-25,2012-11-01,,Low,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Cameron Morrison Lagoon Dam,,,NC04896,,NC04896,NC Department of Adult Correction,State,State,0,No,,,Other,Other,North Carolina,RICHM-042,35.0205,-79.6047,North Carolina,Richmond,,,Hitchcock Creek,"North Carolina, Congressional District 09",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,22,24,24,Less than 25 feet,0,,1990,1990-1999,,19.2,19.2,17.6,2,3,,,,,,,,,,2023-09-25,2013-07-01,,Significant,Not Rated,,No,,https://damsafety.org/north-carolina,,,No,
Ncda Clinton Research Station Dam,,,NC05575,,NC05575,NC Department of Agriculture,State,State,0,No,,,Other,Other,North Carolina,SAMPS-049,35.0267,-78.2764,North Carolina,Sampson,,,Beaverdam Swamp,"North Carolina, Congressional District 03",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,17,22,22,Less than 25 feet,385,,,Undetermined,2003,60.72,60.72,33.1,6.9,230,15.1,,,,,,,,,2023-09-25,2012-05-10,,Low,Not Rated,,No,,https://damsafety.org/north-carolina,,,No,
Big Hungry River Dam,,,NC03036,,NC03036,NC Wildlife Resources Commission,State,State,0,No,,,Recreation,Recreation,North Carolina,HENDE-064,35.3,-82.35048,North Carolina,Henderson,Mount Valley,4,Hungry River,"North Carolina, Congressional District 11",No,No,,No,No,No,No,,,,,,,,,No,N/A,Concrete,Concrete,,,,26,30,30,25-50 feet,187,,,Undetermined,,48,48,5,4,,,,,,,,,,,2023-09-25,2012-08-22,,Significant,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Crawford Lake Dam,,,NC00500,,NC00500,"Heritage Hills NC, LLC",Private,Private,0,No,,,Recreation,Recreation,North Carolina,ANSON-015,34.8484,-80.0581,North Carolina,Anson,Morven,4,South Fork Jones Creek,"North Carolina, Congressional District 08",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,12,18,18,Less than 25 feet,510,,1967,1960-1969,,50,50,41,4,109,7,,,,,,,,,2023-09-25,2013-03-08,,Low,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Hawthorne Lake Dam Lower,,,NC00150,,NC00150,"NP BGO NC Park Statesville, LLC",Private,Private,0,No,,,Recreation,Recreation,North Carolina,IREDE-015,35.816,-80.854,North Carolina,Iredell,Statesville,2,Fourth Creek,"North Carolina, Congressional District 10",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,23,21,23,Less than 25 feet,293,,1960,1960-1969,,146,146,120,,,260,,,,,,,,,2023-09-25,2021-12-02,,Low,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Long Valley Farm Lake Dam,,,NC01126,,NC01126,NC Department of Parks and Recreation,State,State,,No,,,Irrigation,Irrigation;Recreation,North Carolina,CUMBE-034,35.2117,-78.978,North Carolina,Cumberland,Spring Lake,3,Jumping Run Creek,"North Carolina, Congressional District 09",No,No,,No,No,No,No,,,,,,,,,No,,Earth,Earth,,,,14,18,18,Less than 25 feet,624,,1750,Before 1900,2010,672,672,560,90,16192,511,,,,,,,,,2023-09-25,2019-04-10,,Significant,Not Rated,,No,,https://damsafety.org/north-carolina,,,No,Lumbee SDTSA
African Plains Dam,,,NC05580,,NC05580,NC Zoological Authority,State,State,0,No,,,Recreation,Recreation,North Carolina,RANDO-194,35.6296,-79.7494,North Carolina,Randolph,,,Richland Creek,"North Carolina, Congressional District 09",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,19,22,22,Less than 25 feet,320,,,Undetermined,,76,76,38,6,,,,,,,,,,,2023-09-25,2014-10-21,,Low,Satisfactory,,No,,https://damsafety.org/north-carolina,,,No,
Caswell Wildlife Mgmt Lake Dam,,,NC00580,,NC00580,NC Wildlife Resources Commission,State,State,0,No,USDA NRCS,,Recreation,Recreation,North Carolina,CASWE-007,36.43972,-79.21889,North Carolina,Caswell,Yarbro,4,County Line Creek,"North Carolina, Congressional District 06",No,No,,No,No,No,No,,,Natural Resources Conservation Service,,,,,,No,N/A,Earth,Earth,,,,21,25,25,25-50 feet,250,,1969,1960-1969,,50,50,42,4,,112,,,,,,,,,2023-09-25,2023-02-22,,Low,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Heritage Pointe Dam,,,NC05336,,NC05336,"Heritage Pointe NC Partners, LLC",Private,Private,0,No,,,Recreation,Recreation,North Carolina,MECKL-166,35.3288,-80.7314,North Carolina,Mecklenburg,Charlotte,5,Mallard Creek,"North Carolina, Congressional District 12",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,10,11,11,Less than 25 feet,168,,,Undetermined,,1.5,1.5,,0.33,,,,,,,,,,,2023-09-25,2021-11-30,,Significant,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Hawthorne Lake Dam Upper,,,NC00149,,NC00149,"NP BGO NC Park Statesville, LLC",Private,Private,0,No,,,Recreation,Recreation,North Carolina,IREDE-014,35.8202,-80.8543,North Carolina,Iredell,Statesville,2,Fourth Creek,"North Carolina, Congressional District 10",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,10,12,12,Less than 25 feet,308,,1953,1950-1959,,58,58,48,5,627,3,,,,,,,,,2023-09-25,2021-12-02,,Low,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Crappie Lake Dam,,,NC00649,,NC00649,NC Wildlife Resources Commission,State,State,0,No,,,Recreation,Recreation;Water Supply,North Carolina,RICHM-024,35.0559,-79.5686,North Carolina,Richmond,Wagram,21,Big Branch Drowning Creek,"North Carolina, Congressional District 09",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,17,20,20,Less than 25 feet,480,,1933,1930-1939,,163,163,136,20.5,,230,,,,,,,,,2023-09-25,2011-04-19,,Low,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Gum Swamp Lake Dam,,,NC00642,,NC00642,NC Wildlife Resources Commission,State,State,0,No,,,Recreation,Recreation,North Carolina,RICHM-017,34.91,-79.562,North Carolina,Scotland,Richmond Mills,7,Gum Swamp Creek,"North Carolina, Congressional District 09",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,9,12,12,Less than 25 feet,360,,1934,1930-1939,,173,173,144,55,15808,76,,,,,,,,,2023-09-25,2008-02-20,,Low,,,Not Required,,https://damsafety.org/north-carolina,,,No,Lumbee SDTSA
Cameron Lake Dam,,,NC01086,,NC01086,Nc Wildlife Resources Commission,State,State,0,No,,,Recreation,Recreation,North Carolina,SCOTL-012,34.9952,-79.5454,North Carolina,Scotland,Wagram,19,Muddy Creek,"North Carolina, Congressional District 09",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,18,26,26,25-50 feet,743,,1935,1930-1939,,389,389,324,30,1518,79,,,,,,,,,2023-09-25,2012-11-14,,Low,Fair,,No,,https://damsafety.org/north-carolina,,,No,Lumbee SDTSA
Table Rock Fish Hatchery Dam,,,NC00295,,NC00295,NC Wildlife Resources Commission,State,State,0,No,,,Fish and Wildlife Pond,Fish and Wildlife Pond,North Carolina,BURKE-004,35.84588,-81.83676,North Carolina,Burke,Morganton,14,Irish Creek,"North Carolina, Congressional District 10",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,19,23,23,Less than 25 feet,245,,1947,1940-1949,1992,33,33,20,3,2886,1275,,,,,,,,,2023-09-25,2013-05-15,,Significant,Fair,,Yes,2015-02-21,https://damsafety.org/north-carolina,,,No,
Scotland Lake Dam,,,NC01081,,NC01081,NC Wildlife Resources Commission,State,State,0,No,,,Recreation,Recreation,North Carolina,SCOTL-009,34.99936,-79.517,North Carolina,Scotland,Wagram,18,Towers Fork,"North Carolina, Congressional District 09",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,13,20,20,Less than 25 feet,458,,1936,1930-1939,,218,218,182,85,1338,83,,,,,,,,,2023-09-25,2013-07-01,,Low,Not Rated,,No,,https://damsafety.org/north-carolina,,,No,Lumbee SDTSA
Broadacres Lake Dam,,,NC00643,,NC00643,NC Wildlife Resources Commission,State,State,0,No,,,Recreation,Recreation;Water Supply,North Carolina,RICHM-018,35.017,-79.545,North Carolina,Richmond,Hoffman,1,Big Muddy Creek,"North Carolina, Congressional District 09",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,15,18,18,Less than 25 feet,675,,1934,1930-1939,,104,104,86,20,858,76,,,,,,,,,2023-09-25,2012-04-19,,Significant,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Crawford Lake Dam,,,NC00641,,NC00641,NC Wildlife Resources Commission,State,State,0,No,,,Recreation,Recreation;Water Supply,North Carolina,SCOTL-007,34.895,-79.5665,North Carolina,Scotland,Richmond Mills,6,Joes Creek,"North Carolina, Congressional District 09",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,12,12,12,Less than 25 feet,336,,1850,Before 1900,,69,69,58,28,3398,158,,,,,,,,,2023-09-25,2001-02-07,,Low,,,No,,https://damsafety.org/north-carolina,,,No,Lumbee SDTSA
Doolittle Millpond Dam,,,NC00803,,NC00803,NC Department of Transportation,State,State,0,No,,,Recreation,Recreation,North Carolina,NORTH-001,36.405,-77.254,North Carolina,Northampton,Murfreesboro,10,Paddys Delight Creek,"North Carolina, Congressional District 01",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,8,13,13,Less than 25 feet,933,,1925,1920-1929,,208,208,,100,4038,165,,,,,,,,,2023-09-25,1993-05-26,,Significant,,,No,,https://damsafety.org/north-carolina,,,No,
Boone Millpond Dam,,,NC00806,,NC00806,NC Department of Transportation,State,State,0,No,,,Recreation,Recreation,North Carolina,NORTH-004,36.377,-77.452,North Carolina,Northampton,Hamilton,40,Gumberry Swamp,"North Carolina, Congressional District 01",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,11,15,15,Less than 25 feet,600,,1933,1930-1939,,134,134,112,,11520,39,,,,,,,,,2023-09-25,2003-10-20,,Significant,,,No,,https://damsafety.org/north-carolina,,,No,
Dot Quarry Dam,,,NC05413,,NC05413,NC Department of Transportation,State,State,0,No,,,Recreation,Recreation,North Carolina,UNION-082,34.98056,-80.51056,North Carolina,Union,,,Richardson Creek-Tr,"North Carolina, Congressional District 08",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,,17,17,Less than 25 feet,0,,,Undetermined,,71.4,71.4,,10.5,0,0,,,,,,,,,2023-09-25,2018-11-01,,Low,Not Rated,,No,,https://damsafety.org/north-carolina,,,No,
Johnson Pond Dam,,,NC04503,,NC04503,NC Department of Transportation,State,State,0,No,,,Recreation,Recreation,North Carolina,WAKE-179,35.6133,-78.7562,North Carolina,Wake,,,Terrible Creek,"North Carolina, Congressional District 13",No,No,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,,,,,14,14,Less than 25 feet,,,,Undetermined,,84,84,,,,,,,,,,,,,2023-09-25,2008-06-23,,Significant,,,No,,https://damsafety.org/north-carolina,,,No,
Town Fork Creek WS Dam #7,,,NC05441,,NC05441,Stokes County Soil & Water Conservation District,Local Government,Local Government,0,No,USDA NRCS,,Flood Risk Reduction,Flood Risk Reduction;Recreation,North Carolina,STOKE-111,36.2625,-80.2117,North Carolina,Stokes,Walnut Cove,3,Red Bank Creek,"North Carolina, Congressional District 05",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,,25,45,45,25-50 feet,300,,1981,1980-1989,,337.5,337.5,169,46.5,2407,,,,,,,,,,2023-09-25,2021-01-05,,High,Fair,,Yes,2016-02-01,https://damsafety.org/north-carolina,,,No,
Little Yadkin River WS Dam #4,,,NC04213,,NC04213,Stokes County Soil & Water Conservation District,Local Government,Local Government,0,No,USDA NRCS,,Flood Risk Reduction,Flood Risk Reduction,North Carolina,STOKE-060,36.3409,-80.4214,North Carolina,Stokes,Donnaha,15,West Prong Little Yadkin River,"North Carolina, Congressional District 05",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,,48,63,63,51-100 feet,525,,1977,1970-1979,,2377,2377,694,49,2956,1700,,,,,,,,,2023-09-25,2021-01-12,,High,Fair,,Yes,2015-10-21,https://damsafety.org/north-carolina,,,No,
Muddy Creek Dam #6-B,,,NC00174,,NC00174,McDowell Soil and Water Conservation District,Local Government,Local Government,0,No,USDA NRCS,,Flood Risk Reduction,Flood Risk Reduction,North Carolina,MCDOW-002,35.59803,-81.95711,North Carolina,McDowell,Glenwood,3,Stanford Creek,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,,32,42,42,25-50 feet,470,,,Undetermined,,150,150,56,3,,,,,,,,,,,2023-09-25,2022-03-30,,Significant,Satisfactory,,Yes,2015-12-10,https://damsafety.org/north-carolina,,,No,
Deep Creek Watershed #22a Dam,,,NC00264,,NC00264,Yadkin County Soil and Water Conservation District,Local Government,Local Government,0,No,USDA NRCS,,Flood Risk Reduction,Flood Risk Reduction,North Carolina,YADKI-034,36.0885,-80.7274,North Carolina,Yadkin,Lone Hickory,2.2,South Deep Creek,"North Carolina, Congressional District 05",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,,20,39,39,25-50 feet,380,,1968,1960-1969,,457,457,40,10,1483,850,,,,,,,,,2023-09-25,2021-02-03,,High,Satisfactory,,Yes,2023-02-01,https://damsafety.org/north-carolina,,,No,
Little Yadkin River WS Dam #12,Camp Hanes Dam,,NC01498,,NC01498,Stokes County Soil & Water Conservation District,Local Government,Local Government,0,No,USDA NRCS,,Flood Risk Reduction,Flood Risk Reduction;Recreation,North Carolina,STOKE-014,36.3624,-80.3586,North Carolina,Stokes,Pinnacle,10,E. Prong Little Yadkin River,"North Carolina, Congressional District 05",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,,25,33,33,25-50 feet,280,,1989,1980-1989,,130,130,102,10,331,346,,,,,,,,,2023-09-25,2023-02-14,,High,Fair,,Yes,2015-02-25,https://damsafety.org/north-carolina,,,No,
Second Broad River WS #11-6a Dam,Cagle Dam,,NC05450,,NC05450,Rutherford County Soil/Water Conservation District,Local Government,Local Government,0,No,USDA NRCS,,Flood Risk Reduction,Flood Risk Reduction,North Carolina,MCDOW-036,35.59128,-82.00923,North Carolina,McDowell,Fero,2,Second Broad River,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,,21,30,30,25-50 feet,410,,1992,1990-1999,,90,90,11,1.5,115,180,,,,,,,,,2023-09-25,2022-06-08,,Low,Satisfactory,,No,,https://damsafety.org/north-carolina,,,No,
Little Yadkin River WS Dam #25,,,NC04856,,NC04856,Stokes County Soil & Water Conservation District,Local Government,Local Government,0,No,USDA NRCS,,Flood Risk Reduction,Flood Risk Reduction,North Carolina,STOKE-104,36.3421,-80.3416,North Carolina,Stokes,,,E. Prong Little Yadkin River,"North Carolina, Congressional District 05",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,,18,29,29,25-50 feet,325,,,Undetermined,,196,196,119,17,168,273.04,,,,,,,,,2023-09-25,2023-02-14,,High,Fair,,Yes,2015-10-21,https://damsafety.org/north-carolina,,,No,
Little Yadkin River WS Dam #9,,,NC05398,,NC05398,Stokes County Soil & Water Conservation District,Local Government,Local Government,0,No,USDA NRCS,,Flood Risk Reduction,Flood Risk Reduction,North Carolina,STOKE-099,36.3464,-80.3611,North Carolina,Stokes,,,E. Prong Little Yadkin River,"North Carolina, Congressional District 05",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,,22,34,34,25-50 feet,350,,,Undetermined,,144,144,95,10.6,193,,,,,,,,,,2023-09-25,2023-02-14,,High,Fair,,Yes,2015-02-26,https://damsafety.org/north-carolina,,,No,
Deep Creek Watershed #5d Dam,,,NC05866,,NC05866,Yadkin County Soil and Water Conservation District,Local Government,Local Government,0,No,USDA NRCS,,Flood Risk Reduction,Flood Risk Reduction;Water Supply,North Carolina,YADKI-065,36.1262,-80.7303,North Carolina,Yadkin,,,,"North Carolina, Congressional District 05",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth;Roller-Compacted Concrete;Gravity,,,,56,75,75,51-100 feet,1494,,2010,Since 2000,,7820,7820,2024,,22,,,,,,,,,,2023-09-25,2023-02-01,,High,Fair,,Yes,2022-10-01,https://damsafety.org/north-carolina,,,No,
"Little Yadkin River WS Dam #4, 5",,,NC05396,,NC05396,Stokes County Soil & Water Conservation District,Local Government,Local Government,0,No,USDA NRCS,,Flood Risk Reduction,Flood Risk Reduction,North Carolina,STOKE-097,36.3333,-80.3896,North Carolina,Stokes,,,E. Prong Little Yadkin River,"North Carolina, Congressional District 05",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,,26,35,35,25-50 feet,280,,,Undetermined,,102.2,102.2,75,7.3,,,,,,,,,,,2023-09-25,2023-02-23,,Low,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Deep Creek Watershed #24 Dam,,,NC00356,,NC00356,Yadkin County Soil and Water Conservation District,Local Government,Local Government,0,No,USDA NRCS,,Flood Risk Reduction,Flood Risk Reduction,North Carolina,YADKI-013,36.1982,-80.6774,North Carolina,Yadkin,Yadkinville,4.5,North Deep Creek,"North Carolina, Congressional District 05",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,,15,33,33,25-50 feet,366,,1963,1960-1969,,336,336,30,7,1101,510,,,,,,,,,2023-09-25,2018-02-08,,Significant,Satisfactory,,Yes,2023-04-01,https://damsafety.org/north-carolina,,,No,
